,fecha,codigoMoneda,descripcion,tipoPase,tipoCotizacion
3,2025-04-14,BOB,BOLIVIANOS,0.145159,173.900421
4,2025-04-14,BRL,REAL,0.170625,204.408954
5,2025-04-14,CAD,DOLAR CANADIEN.,0.720513,863.17458
6,2025-04-14,CHF,FRANCO SUIZO,1.227898,1471.021611
7,2025-04-14,CLP,PESO CHILENO,0.001034,1.238563
8,2025-04-14,CNH,YUAN CNH RENMINBI OFF SHORE,0.136848,163.9434
9,2025-04-14,CNY,YUAN CNY RENMINBI,0.136808,163.896299
10,2025-04-14,COP,COLOMBIANOS,0.000232,0.278024
11,2025-04-14,CZK,CORONAS CHECAS,0.045176,54.121208
12,2025-04-14,DKK,CORONAS DANESAS,0.151876,181.947967
13,2025-04-14,EUR,EURO,1.1341,1358.6518
14,2025-04-14,GBP,LIBRA ESTERLINA,1.3185,1579.563
15,2025-04-14,HKD,DOLAR HONG KONG,0.128929,154.457079
16,2025-04-14,ILS,LIBRA ISRAELI,0.271304,325.022383
17,2025-04-14,INR,RUPIA (INDIA),0.011621,13.922332
18,2025-04-14,JPY,YENS,0.00699,8.373523
19,2025-04-14,MXP,PESO MEXICANO,0.049716,59.559913
20,2025-04-14,NIO,CORDOBA NICARAGUENSE,0.027147,32.522179
21,2025-04-14,NOK,CORONAS NORUEGA,0.094445,113.144822
22,2025-04-14,NZD,DOLAR NEOZELANDES,0.5879,704.3042
23,2025-04-14,PEN,SOLES,0.26773,320.741078
24,2025-04-14,PYG,GUARANIES,0.000125,0.149831
25,2025-04-14,REF,DOLAR REFERENCIA COM 3500,0.0,1182.4167
26,2025-04-14,RSD,DINAR SERBIA,0.009674,11.589335
27,2025-04-14,RUB,RUSIA,0.0122,14.61603
28,2025-04-14,SEK,CORONAS SUECAS,0.102198,122.433546
29,2025-04-14,SGD,DOLAR DE SINGAPUR,0.759994,910.472716
30,2025-04-14,TRY,LIRA TURCA,0.02629,31.495069
31,2025-04-14,USD,DOLAR E.E.U.U.,0.0,1198.0
32,2025-04-14,UYU,PESO URUGUAYO,0.023596,28.268051
33,2025-04-14,VEB,BOLIVARES,0.01319065,15.80239357
34,2025-04-14,VND,DONG VIETNAM (C/1.000 UNIDADES),0.038718,46.38377
35,2025-04-14,XAG,PLATA - ONZA TROY,32.283,0.0
36,2025-04-14,XAU,ORO FINO (1 ONZA),3214.4,0.0
37,2025-04-14,XDR,DEG,1.35476,1623.00248
38,2025-04-14,ZAR,RAND SUD,0.053087,63.5979
